,Mast type.,location no.,last maintenance,Overdue date
73,B-150,295/16,4/6/2021,5/6/2022
74,B-150,295/18,4/6/2021,5/6/2022
75,B-200,295/20,4/6/2021,5/6/2022
76,B-200,295/19,5/6/2021,6/6/2022
77,RSJ,DGA/1001,5/6/2021,6/6/2022
78,BFB,DGA/1009,6/6/2021,7/6/2022
79,RSJ,DGA/1011,6/6/2021,7/6/2022
80,TTC,296/11,6/6/2021,7/6/2022
81,B-200,295/20,4/6/2021,5/6/2022
82,TTC,DGA/1002,4/6/2021,5/6/2022
83,B-150,DGA/1004,4/6/2021,5/6/2022
84,BFB,DGA/1008,6/6/2021,7/6/2022
85,B-150,DGA/1012,6/6/2021,7/6/2022
86,B-200,296/10,6/6/2021,7/6/2022
87,TTC,296/11,6/6/2021,7/6/2022
88,B-200,296/13,6/6/2021,7/6/2022
89,B-200,296/15,6/6/2021,7/6/2022
90,B-150,296/19,6/6/2021,7/6/2022
91,B-200,296/10,6/6/2021,7/6/2022
92,B-200,296/12,6/6/2021,7/6/2022
93,B-200,305/27,11/6/2021,12/6/2022
94,PORTAL,305/29,11/6/2021,12/6/2022
95,TTC,305/32,12/6/2021,13/6/2022
96,B-200,305/27,11/6/2021,12/6/2022
97,PORTAL,305/29,11/6/2021,12/6/2022
98,PORTAL,306/04,15/6/2021,16/6/2022
99,PORTAL,306/06,15/6/2021,16/6/2022
100,PORTAL,306/08,15/6/2021,16/6/2022
101,PORTAL,306/10,15/6/2021,16/6/2022
102,PORTAL,306/12,15/6/2021,16/6/2022
103,PORTAL,306/14,15/6/2021,16/6/2022
104,PORTAL,306/16,15/6/2021,16/6/2022
105,PORTAL,306/18,15/6/2021,16/6/2022
106,PORTAL,306/20,12/6/2021,13/6/2022
107,BFB,BAGL/1004,12/6/2021,13/6/2022
108,TTC,306/22,12/6/2021,13/6/2022
109,B-150,314/19,17/6/2021,18/6/2022
110,B-200,314/21,17/6/2021,18/6/2022
111,RSJ,314/20,16/6/2021,17/6/2022
112,B-200,314/24,17/6/2021,18/6/2022
113,B-200,314/28,16/6/2021,17/6/2022
114,PORTAL,314/32,16/6/2021,17/6/2022
115,PORTAL,314/34,16/6/2021,17/6/2022
116,PORTAL,315/25,20/6/2021,21/6/2022
117,B-150,315/27,20/6/2021,21/6/2022
118,PORTAL,314/32,16/6/2021,17/6/2022
119,PORTAL,314/34,16/6/2021,17/6/2022
120,TTC,315/22,13/6/2021,14/6/2022
121,B-200,314/28,16/6/2021,17/6/2022
122,PORTAL,314/32,16/6/2021,17/6/2022
123,RSJ,GJH/2002,17/6/2021,18/6/2022
124,TTC,315/25,20/6/2021,21/6/2022
125,B-150,315/27,20/6/2021,21/6/2022
126,TTC,315/22,13/6/2021,14/6/2022
127,B-200,315/24,13/6/2021,14/6/2022
128,B-200,315/28,17/6/2021,18/6/2022
129,TTC,278/33,14/6/2021,15/6/2022
130,PORTAL,278/35,14/6/2021,15/6/2022
131,BFB,02-Jan,28/6/2021,29/6/2022
132,B-150,02-May,28/6/2021,29/6/2022
133,B-200,02-Jul,28/6/2021,29/6/2022
134,RSJ,02-Sep,28/6/2021,29/6/2022
135,RSJ,02-Nov,28/6/2021,29/6/2022
136,RSJ,Feb-13,28/6/2021,29/6/2022
137,BFB,Feb-15,28/6/2021,29/6/2022
138,BFB,Feb-17,28/6/2021,29/6/2022
139,BFB,Feb-19,28/6/2021,29/6/2022
140,RSJ,Feb-21,28/6/2021,29/6/2022
141,B-175,Jan-14,1/6/2021,2/6/2022
142,B-175,Jan-16,1/6/2021,2/6/2022
